__id__,__filename__,text,__id__,__filename__
0,Commuting Choices,math for real “when will I ever use this?”,0,Commuting Choices
1,Commuting Choices,E. Fanny Sosenke,1,Commuting Choices
2,Commuting Choices,Commuting Choices w Mindy decide on the most afford-,2,Commuting Choices
3,Commuting Choices,"When people decide how to get to work, they face many choices. Their ultimate decision will be based on cost, convenience, and impact on  the environment. According to  commuterchoice.com, “the typical commuter pays over $200 per month” to get to work.",3,Commuting Choices
4,Commuting Choices,"able means of commuting.    Choice 1: Mindy could drive to work. Her car’s gas mileage (how many miles her car travels per gallon of gasoline) is 31 miles per gallon. The cost of gas in her town is $1.82 per gallon. She knows that she can drive at an average speed of 40 miles per hour. In addition, she has to pay for a garage near  her office that charges $253.50  per month.",4,Commuting Choices
5,Commuting Choices,"1.  If the average commuter spends $200 a month in getting to work, how much money will a commuter who works from age 25 to age 65 spend on transportation during his or her working lifetime? 2.  Mindy’s home is 21 miles from her  workplace, and she works 5 days a week. She is trying to decide whether to commute by car, bus, or taxicab. To determine her choice, she must calculate the cost of commuting in time and money per month. Devise a table that helps ",5,Commuting Choices
6,Commuting Choices,"Edited by Crystal Kalinec-Craig,  crystal.kalinec-craig@utsa.edu, University of Texas at San Antonio, and E. Fanny Sosenke, Avenues The World School, New York, New York. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of one’s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net.    Choice 2: Mindy could take the bus to work. The bus fare in her town is $2.25. She usually needs  to wait between 7 and 10 minutes for the bus. The average speed of the bus when it is moving is about 30 miles per hour, and the bus makes 12 stops before Mindy reaches her destination; stops average 1 minute.",6,Commuting Choices
7,Commuting Choices,"  Choice 3: Mindy could take a cab to work. The initial charge is $2.50 plus 5 cents per 1/5 mile traveled. The average wait to find a cab is  3 to 5 minutes, and the cab drives at an average speed of 35 miles per hour.",7,Commuting Choices
8,Commuting Choices,"3.  According to Today Money (Rizzo  2008), transportation accounts ",8,Commuting Choices
9,Commuting Choices,Math Focus Areas: • Problem solving • Operations with decimals • Multiplying multidigit numbers • Constructing viable arguments for approximately one-third of all the greenhouse gases produced in the country. Rank Mindy’s three choices in terms of the negative impact each might have on the environment. Provide one or two sentences explaining your ranking.,9,Commuting Choices
