__id__,__filename__,text,,
0,Making a Picture Frame - National Council of Teachers of Mathematics,"Hiromi is an artist who wants to make a picture frame. First, she wants to cut along the diagonals of a rectangular piece of wood that measures 13 inches × 9 inches, as shown in diagram 1, to make four triangular-shaped pieces.",,
1,Making a Picture Frame - National Council of Teachers of Mathematics,,,
2,Making a Picture Frame - National Council of Teachers of Mathematics,1. Classify the two different-sized triangles by their sides and angles.,,
3,Making a Picture Frame - National Council of Teachers of Mathematics,2. Find the area of triangles ABC and ABD.,,
4,Making a Picture Frame - National Council of Teachers of Mathematics,"3. If the length of the rectangle is l and the width is w, find the:",,
5,Making a Picture Frame - National Council of Teachers of Mathematics,a. Area of triangles ABC and ABD,,
6,Making a Picture Frame - National Council of Teachers of Mathematics,b. Perimeter of triangles ABC and ABD,,
7,Making a Picture Frame - National Council of Teachers of Mathematics,"4. If triangle ABD is equilateral, what must be the length of the rectangle if the width is w?",,
8,Making a Picture Frame - National Council of Teachers of Mathematics,"Next, Hiromi cuts each triangle and assembles the frame (see diagram 2).",,
9,Making a Picture Frame - National Council of Teachers of Mathematics,,,
10,Making a Picture Frame - National Council of Teachers of Mathematics,The central rectangle has the same area as one of the trapezoids.,,
11,Making a Picture Frame - National Council of Teachers of Mathematics,5. What is the area of the middle rectangle (the picture)?,,
12,Making a Picture Frame - National Council of Teachers of Mathematics,6. What are the dimensions of the middle rectangle? Note that the middle rectangle is similar to the outer rectangle.,,
13,Making a Picture Frame - National Council of Teachers of Mathematics,7.  a. Find the height of each trapezoid. Are they the same height?,,
14,Making a Picture Frame - National Council of Teachers of Mathematics,"b. In a standard picture frame, all the trapezoids are the same height. Are the frame and the picture it holds similar?",,
15,Making a Picture Frame - National Council of Teachers of Mathematics,"8. Hiromi buys wood for $25.00 for a 1 foot × 2 foot piece, so she can make only one frame from the board. What is the cost of the unused wood?",,
16,Making a Picture Frame - National Council of Teachers of Mathematics,"Edited by Crystal Kalinec-Craig, crystal.kalinec-craig@utsa.edu, University of Texas at San Antonio, and E. Fanny Sosenke, Avenues The World School, New York, New York. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of one’s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net.",,
